x,y,z
6.903899,-9.0786,-3.708
-0.824001,3.45329,-8.13297
-7.088599,3.9744,7.6985
-3.389801,-4.965401,6.607599
-8.329299,-3.364801,-3.5179
0.021727,-1.40215,6.0996
-4.614801,4.7995,-5.987999
-3.4604,2.58446,-7.58134
4.80663,0.250999,1.78288
-8.130301,-5.097198,-5.572499
-7.9618,0.082602,-3.556799
-7.8031,-3.94484,0.929201
2.032101,1.61588,7.901099
7.9515,-6.54214,2.066599
-8.634199,3.698097,-8.61268
9.25974,-5.00086,-1.54404
3.5783,-6.467699,-3.47504
-5.55131,4.912201,5.1152
6.7131,-3.465099,8.649799
6.561699,-5.69433,-0.516194
5.566,2.4,-3.350599
-1.39962,1.245701,0.854401
8.4754,7.47427,-6.99842
7.303299,-1.144999,1.784199
-4.8734,-1.80135,-9.313689
7.72549,3.6594,-2.0844
3.88067,-3.633101,5.048199
-8.5331,-0.028795,-7.459199
-6.59728,5.389,1.497402
-4.7141,-9.28884,3.088699
-2.0604,-0.004601,3.120099
1.18219,7.060999,-3.0233
-3.0982,6.73119,7.68191
4.3143,-7.5795,4.42439
-1.8941,-8.057199,3.439201
-7.19931,4.8461,-1.19653
-1.08419,-5.6044,0.367001
2.149599,-5.9463,5.45075
-0.668894,8.4352,-7.83614
8.7324,-7.128499,-3.2631
6.494299,-3.966599,-2.9461
-5.11719,3.261101,-1.906301
6.96171,0.386497,-0.239799
3.38069,6.216702,-1.65233
-0.065998,-6.15732,3.660799
5.554899,5.7505,1.7717
-3.0849,3.24307,0.40899
1.706799,4.82463,-7.862399
-2.6719,-4.48391,-5.599299
5.1063,-9.04352,-5.921299
5.5966,-9.116059,8.19969
0.808055,-0.485201,-7.240398
-9.25003,-6.5573,7.9461
5.752298,2.44943,6.512299
-9.12052,4.677402,5.680499
6.243599,6.9956,8.600499
-1.643803,-3.801399,3.317499
-9.28246,-8.923759,-9.269699
-6.8586,-2.683701,6.524101
5.40107,7.29511,-7.307798
0.2777,5.746499,-5.247899
-3.883099,-0.274799,0.118801
4.0109,-2.8969,-2.52198
3.980999,-3.14228,8.7451
-7.751599,-2.385201,3.410899
1.3978,-6.989498,-7.815
9.217569,-8.4822,-6.4711
-3.341801,-6.127199,1.8738
-6.657101,-3.0475,-1.4436
-8.93203,7.4466,1.8228
9.190399,7.00478,8.97188
6.82368,4.606201,-8.39632
6.19092,8.71877,0.899229
1.913898,9.100399,-7.77393
9.21741,-0.2388,3.3811
-8.7943,-4.14145,5.293602
-8.779202,2.603798,-4.837597
