x,y,z
0.08425,-1.87591,-2.32685
4.89398,-2.19652,10.22052
11.77223,-11.64691,11.34032
-8.57399,-9.18618,6.14618
-5.0522,2.32416,-4.94704
9.06961,11.00531,-5.47176
-12.28992,-2.81282,1.18766
8.03563,7.22532,-7.19518
0.22587,-9.18544,2.59166
11.6629,8.10095,-6.34332
-12.70319,0.22737,-12.98541
0.86061,6.19044,-11.59795
10.84158,-7.94092,12.42643
-6.18385,3.96978,11.84799
-7.22253,-8.13596,-1.94842
-10.2055,8.9288,-11.88546
3.6359,-11.39657,0.99558
2.12694,4.01226,2.50468
9.79318,-5.32452,5.22122
1.4715,-1.9335,3.87845
-6.19801,2.58886,-10.93144
-5.59459,0.51556,9.97832
-3.63916,11.04124,-12.26223
2.55394,-7.27802,0.55286
-11.0309,-7.06667,-9.68986
-11.34973,-2.18145,-4.31627
-12.67311,-4.3463,-7.22966
12.51581,-3.31686,12.12647
-2.97074,-11.47408,-6.88146
10.90598,1.11645,6.1274
12.7879,11.92393,-5.40087
1.86384,0.45087,-0.45593
-11.95182,5.40355,10.92247
-11.8918,-12.49177,4.53804
-4.80868,-5.28439,-2.97873
5.14933,-4.97118,-12.45228
4.9562,-7.29814,6.83636
-7.2908,9.32817,5.73036
5.3905,8.13474,8.92769
-6.67266,-9.63719,1.63068
3.89474,7.10785,2.88233
-8.13303,-5.12733,-9.65255
10.32911,-7.91921,1.74451
10.68279,-1.49928,-1.15442
1.57178,1.74454,4.9658
-10.42385,9.78714,-0.67513
8.76744,10.99004,1.02399
-1.71938,-4.29091,-4.90256
-5.76174,-2.54713,-9.78471
4.48209,10.98307,-4.10862
9.04027,6.95252,-3.55445
7.60392,2.38004,11.0513
3.71378,-9.20278,10.38427
-9.19472,1.21718,12.406
7.57722,12.38484,5.93336
6.84635,-12.43619,-6.39777
-3.09788,-11.07319,1.6295
-8.44439,7.53857,-5.16766
-10.48311,9.7708,3.8149
-9.69449,10.40704,8.71367
9.17957,12.24221,9.30185
-1.95159,-0.72207,-5.70961
-4.88961,4.5784,3.07741
7.47807,5.747,11.79399
-5.20539,-12.10728,-11.2082
6.03803,-8.1625,1.28079
-12.14226,10.20925,-9.0007
-8.75459,3.88819,9.40162
-2.16268,-7.79008,-7.2917
-8.15545,-8.2221,-7.3993
-9.7302,5.3917,-12.05763
-3.38663,6.68265,5.65744
0.40961,2.57945,-11.31074
-12.13889,6.12031,-8.76278
7.42508,3.65302,-3.56208
-10.08842,-11.95317,-4.68952
-2.61686,7.49611,1.38966
3.44144,-8.53759,-5.65703
-12.22718,-9.28808,-6.94576
11.10847,3.43636,-0.85533
-10.98407,9.67637,-4.03143
-6.61912,10.60815,11.02598
6.14409,10.34106,-7.97241
-5.38194,-2.25966,-5.56655
-5.99837,7.34174,-10.81822
-7.81036,-11.3215,12.13853
-9.66126,1.81314,-9.47242
-12.669,2.61735,9.00002
5.61689,-11.56693,12.03685
12.94965,-3.56542,5.81426
-1.87874,3.9012,0.87604
-4.68517,11.23961,-8.63629
6.68124,-10.234,-1.99309
2.53211,-1.79151,12.90166
5.02012,6.05242,-1.9325
-1.41297,-7.93181,-10.95859
8.3002,-9.56357,-8.31546
11.84358,-0.75526,3.26249
9.59026,8.70216,11.90609
-3.07313,4.85877,-10.98429
-0.03724,-11.95866,0.17298
-11.72126,-0.40641,6.20418
-4.03178,-12.78293,-2.00115
-8.94682,-9.18399,9.6873
12.47193,-9.24324,5.15543
-6.57158,-4.96716,3.32855
6.11493,12.50957,-1.48569
-3.53971,-8.15165,3.51366
-3.81278,-0.53674,-12.25701
-8.37129,-5.4445,-0.2052
-0.85914,10.47962,9.94524
11.42126,-9.34296,-10.10361
9.99602,-9.36121,-1.66828
7.99075,-3.9849,12.06615
9.73611,-12.85929,-1.43839
5.3152,-5.04147,0.01597
-5.57963,-1.36889,3.58275
3.59259,0.33948,-9.00128
-2.26857,8.11992,-9.00584
12.18743,8.28787,-11.35691
-12.79656,6.57951,4.61206
-7.41408,8.94037,1.5426
4.3541,2.42966,-1.66914
-1.48831,-5.3655,4.34693
-6.45847,-6.00184,9.5944
-10.09342,3.98063,-6.73956
-4.2273,10.04511,7.80796
1.34772,3.89512,-1.49832
-11.39162,5.85941,-4.29501
-5.52895,5.36508,-0.37551
7.32539,5.3767,7.86244
-1.93453,-11.44837,-10.41336
3.9798,4.23879,-5.06787
-1.60538,9.625,4.3782
11.74641,-5.59352,-0.59127
-8.94636,7.31529,10.67944
2.10778,-5.41625,3.43295
-0.04807,7.6353,7.34152
6.02926,-4.95571,4.35651
-12.96041,-6.22129,-3.84838
11.28535,6.45703,9.24979
-10.90119,0.83991,0.07321
8.50372,-10.43578,-12.44883
-4.6842,11.00933,3.68256
3.57961,-12.47883,5.24501
-9.97456,-5.43279,3.19408
-1.7208,-3.56051,-12.82857
-11.10785,3.01773,5.8938
-5.3452,-9.54931,8.27556
9.28401,1.86524,-11.38422
-1.48301,6.33719,-1.94917
7.87207,-0.79182,8.26123
6.23548,2.70199,-10.34003
-4.71128,-9.42438,12.33275
-6.71739,1.60289,4.25806
12.76277,-10.89264,0.76969
-6.78328,0.65141,-7.87674
-3.36226,7.64757,11.86494
-1.20127,3.74338,5.87376
-2.81763,2.43902,12.2812
0.83567,1.42385,-4.26695
-10.12404,-4.62075,-12.45291
2.34053,10.02782,5.97225
0.92736,5.72404,-4.87625
-8.47494,12.96525,4.37652
-10.03305,11.93869,12.02274
-5.0076,-11.08018,4.81543
12.92451,7.45502,0.88008
-8.88975,0.64887,-5.20785
0.94516,6.60311,0.53453
-1.46121,12.94972,7.22017
1.14975,-6.10488,-6.97274
-6.80926,-3.42057,12.81596
-5.24543,-0.8095,6.83143
5.04143,11.92934,8.21028
-5.20216,3.12341,7.44713
-2.0352,3.90645,-4.56967
-9.00014,7.67087,-9.14405
-10.05238,-12.4111,7.71768
-1.80081,1.60056,-1.65373
-0.6913,10.27233,-1.71616
9.19187,8.83318,7.36609
10.52666,-12.23187,3.80901
8.26395,-6.67544,-10.68446
1.0644,3.21351,8.24768
-9.1008,-1.54589,-10.80102
-3.8053,-12.99559,11.05941
0.14775,11.22518,-11.81375
2.39329,12.23565,-1.26773
-5.55349,-5.79209,-6.75799
10.43995,3.63927,2.86998
11.96971,-12.19812,7.64137
-7.02838,4.87233,-8.19281
8.61075,-3.26403,1.408
6.91803,-1.16935,-7.2014
2.91499,1.54464,11.05348
12.9634,10.25215,6.3932
3.55863,3.66239,-12.29508
-10.50314,12.53881,1.46811
2.74796,10.52621,10.68544
6.41589,10.78974,11.51191
-11.15122,-9.09915,12.48115
-8.22433,3.35374,0.69357
4.00556,-4.78515,-5.67529
1.72711,-9.57193,-10.5878
-12.37817,-9.05312,8.69886
-12.39251,-1.81797,-10.05003
8.59139,-4.64993,-7.11589
1.52217,6.9531,10.39516
-9.17048,-10.46124,-10.28028
7.9076,-11.29501,1.38654
7.81251,-1.7322,4.59969
-9.42619,-1.81418,3.12267
9.562,-0.26112,11.77998
6.94865,-4.64517,8.53753
1.14635,-6.32898,7.64093
7.29009,-3.77378,-3.42467
-1.81331,-1.99797,5.53267
4.28309,7.32623,12.55815
-5.86919,6.56565,8.88582
1.34779,-12.66488,9.19654
-6.17222,-2.88413,0.29907
-9.08882,6.44421,-0.88178
9.88271,8.24449,3.85442
10.58355,-12.7861,-8.53886
-4.82641,-9.17315,-9.51296
4.28594,7.55773,-6.16982
-11.784,-6.12111,10.23604
