x,y,z
0,0,0
3.1034,0,0
6.2068,0,0
9.3102,0,0
12.4136,0,0
15.517,0,0
18.6204,0,0
0,3.1034,0
3.1034,3.1034,0
6.2068,3.1034,0
9.3102,3.1034,0
12.4136,3.1034,0
15.517,3.1034,0
18.6204,3.1034,0
0,6.2068,0
3.1034,6.2068,0
6.2068,6.2068,0
9.3102,6.2068,0
12.4136,6.2068,0
15.517,6.2068,0
18.6204,6.2068,0
0,9.3102,0
3.1034,9.3102,0
6.2068,9.3102,0
9.3102,9.3102,0
12.4136,9.3102,0
15.517,9.3102,0
18.6204,9.3102,0
0,12.4136,0
3.1034,12.4136,0
6.2068,12.4136,0
9.3102,12.4136,0
12.4136,12.4136,0
15.517,12.4136,0
18.6204,12.4136,0
0,15.517,0
3.1034,15.517,0
6.2068,15.517,0
9.3102,15.517,0
12.4136,15.517,0
15.517,15.517,0
18.6204,15.517,0
0,18.6204,0
3.1034,18.6204,0
6.2068,18.6204,0
9.3102,18.6204,0
12.4136,18.6204,0
15.517,18.6204,0
18.6204,18.6204,0
0,0,3.1034
3.1034,0,3.1034
6.2068,0,3.1034
9.3102,0,3.1034
12.4136,0,3.1034
15.517,0,3.1034
18.6204,0,3.1034
0,3.1034,3.1034
3.1034,3.1034,3.1034
6.2068,3.1034,3.1034
9.3102,3.1034,3.1034
12.4136,3.1034,3.1034
15.517,3.1034,3.1034
18.6204,3.1034,3.1034
0,6.2068,3.1034
3.1034,6.2068,3.1034
6.2068,6.2068,3.1034
9.3102,6.2068,3.1034
12.4136,6.2068,3.1034
15.517,6.2068,3.1034
18.6204,6.2068,3.1034
0,9.3102,3.1034
3.1034,9.3102,3.1034
6.2068,9.3102,3.1034
9.3102,9.3102,3.1034
12.4136,9.3102,3.1034
15.517,9.3102,3.1034
18.6204,9.3102,3.1034
0,12.4136,3.1034
3.1034,12.4136,3.1034
6.2068,12.4136,3.1034
9.3102,12.4136,3.1034
12.4136,12.4136,3.1034
15.517,12.4136,3.1034
18.6204,12.4136,3.1034
0,15.517,3.1034
3.1034,15.517,3.1034
6.2068,15.517,3.1034
9.3102,15.517,3.1034
12.4136,15.517,3.1034
15.517,15.517,3.1034
18.6204,15.517,3.1034
0,18.6204,3.1034
3.1034,18.6204,3.1034
6.2068,18.6204,3.1034
9.3102,18.6204,3.1034
12.4136,18.6204,3.1034
15.517,18.6204,3.1034
18.6204,18.6204,3.1034
0,0,6.2068
3.1034,0,6.2068
6.2068,0,6.2068
9.3102,0,6.2068
12.4136,0,6.2068
15.517,0,6.2068
18.6204,0,6.2068
0,3.1034,6.2068
3.1034,3.1034,6.2068
6.2068,3.1034,6.2068
9.3102,3.1034,6.2068
12.4136,3.1034,6.2068
15.517,3.1034,6.2068
18.6204,3.1034,6.2068
0,6.2068,6.2068
3.1034,6.2068,6.2068
6.2068,6.2068,6.2068
9.3102,6.2068,6.2068
12.4136,6.2068,6.2068
15.517,6.2068,6.2068
18.6204,6.2068,6.2068
0,9.3102,6.2068
3.1034,9.3102,6.2068
6.2068,9.3102,6.2068
9.3102,9.3102,6.2068
12.4136,9.3102,6.2068
15.517,9.3102,6.2068
18.6204,9.3102,6.2068
0,12.4136,6.2068
3.1034,12.4136,6.2068
6.2068,12.4136,6.2068
9.3102,12.4136,6.2068
12.4136,12.4136,6.2068
15.517,12.4136,6.2068
18.6204,12.4136,6.2068
0,15.517,6.2068
3.1034,15.517,6.2068
6.2068,15.517,6.2068
9.3102,15.517,6.2068
12.4136,15.517,6.2068
15.517,15.517,6.2068
18.6204,15.517,6.2068
0,18.6204,6.2068
3.1034,18.6204,6.2068
6.2068,18.6204,6.2068
9.3102,18.6204,6.2068
12.4136,18.6204,6.2068
15.517,18.6204,6.2068
18.6204,18.6204,6.2068
0,0,9.3102
3.1034,0,9.3102
6.2068,0,9.3102
9.3102,0,9.3102
12.4136,0,9.3102
15.517,0,9.3102
18.6204,0,9.3102
0,3.1034,9.3102
3.1034,3.1034,9.3102
6.2068,3.1034,9.3102
9.3102,3.1034,9.3102
12.4136,3.1034,9.3102
15.517,3.1034,9.3102
18.6204,3.1034,9.3102
0,6.2068,9.3102
3.1034,6.2068,9.3102
6.2068,6.2068,9.3102
9.3102,6.2068,9.3102
12.4136,6.2068,9.3102
15.517,6.2068,9.3102
18.6204,6.2068,9.3102
0,9.3102,9.3102
3.1034,9.3102,9.3102
6.2068,9.3102,9.3102
9.3102,9.3102,9.3102
12.4136,9.3102,9.3102
15.517,9.3102,9.3102
18.6204,9.3102,9.3102
0,12.4136,9.3102
3.1034,12.4136,9.3102
6.2068,12.4136,9.3102
9.3102,12.4136,9.3102
12.4136,12.4136,9.3102
15.517,12.4136,9.3102
18.6204,12.4136,9.3102
0,15.517,9.3102
3.1034,15.517,9.3102
6.2068,15.517,9.3102
9.3102,15.517,9.3102
12.4136,15.517,9.3102
15.517,15.517,9.3102
18.6204,15.517,9.3102
0,18.6204,9.3102
3.1034,18.6204,9.3102
6.2068,18.6204,9.3102
9.3102,18.6204,9.3102
12.4136,18.6204,9.3102
15.517,18.6204,9.3102
18.6204,18.6204,9.3102
0,0,12.4136
3.1034,0,12.4136
6.2068,0,12.4136
9.3102,0,12.4136
12.4136,0,12.4136
15.517,0,12.4136
18.6204,0,12.4136
0,3.1034,12.4136
3.1034,3.1034,12.4136
6.2068,3.1034,12.4136
9.3102,3.1034,12.4136
12.4136,3.1034,12.4136
15.517,3.1034,12.4136
18.6204,3.1034,12.4136
0,6.2068,12.4136
3.1034,6.2068,12.4136
6.2068,6.2068,12.4136
9.3102,6.2068,12.4136
12.4136,6.2068,12.4136
15.517,6.2068,12.4136
18.6204,6.2068,12.4136
0,9.3102,12.4136
3.1034,9.3102,12.4136
6.2068,9.3102,12.4136
9.3102,9.3102,12.4136
12.4136,9.3102,12.4136
15.517,9.3102,12.4136
18.6204,9.3102,12.4136
0,12.4136,12.4136
3.1034,12.4136,12.4136
6.2068,12.4136,12.4136
9.3102,12.4136,12.4136
12.4136,12.4136,12.4136
15.517,12.4136,12.4136
18.6204,12.4136,12.4136
0,15.517,12.4136
3.1034,15.517,12.4136
6.2068,15.517,12.4136
9.3102,15.517,12.4136
12.4136,15.517,12.4136
15.517,15.517,12.4136
18.6204,15.517,12.4136
0,18.6204,12.4136
3.1034,18.6204,12.4136
6.2068,18.6204,12.4136
9.3102,18.6204,12.4136
12.4136,18.6204,12.4136
15.517,18.6204,12.4136
18.6204,18.6204,12.4136
0,0,15.517
3.1034,0,15.517
6.2068,0,15.517
9.3102,0,15.517
12.4136,0,15.517
15.517,0,15.517
18.6204,0,15.517
0,3.1034,15.517
3.1034,3.1034,15.517
6.2068,3.1034,15.517
9.3102,3.1034,15.517
0,6.2068,15.517
3.1034,6.2068,15.517
6.2068,6.2068,15.517
9.3102,6.2068,15.517
12.4136,6.2068,15.517
15.517,6.2068,15.517
18.6204,6.2068,15.517
0,9.3102,15.517
3.1034,9.3102,15.517
6.2068,9.3102,15.517
9.3102,9.3102,15.517
12.4136,9.3102,15.517
15.517,9.3102,15.517
18.6204,9.3102,15.517
0,12.4136,15.517
3.1034,12.4136,15.517
6.2068,12.4136,15.517
9.3102,12.4136,15.517
12.4136,12.4136,15.517
15.517,12.4136,15.517
18.6204,12.4136,15.517
0,15.517,15.517
3.1034,15.517,15.517
6.2068,15.517,15.517
9.3102,15.517,15.517
12.4136,15.517,15.517
15.517,15.517,15.517
18.6204,15.517,15.517
0,18.6204,15.517
3.1034,18.6204,15.517
6.2068,18.6204,15.517
9.3102,18.6204,15.517
12.4136,18.6204,15.517
15.517,18.6204,15.517
18.6204,18.6204,15.517
0,0,18.6204
3.1034,0,18.6204
6.2068,0,18.6204
9.3102,0,18.6204
12.4136,0,18.6204
15.517,0,18.6204
18.6204,0,18.6204
0,3.1034,18.6204
3.1034,3.1034,18.6204
6.2068,3.1034,18.6204
9.3102,3.1034,18.6204
12.4136,3.1034,18.6204
15.517,3.1034,18.6204
18.6204,3.1034,18.6204
0,6.2068,18.6204
3.1034,6.2068,18.6204
6.2068,6.2068,18.6204
9.3102,6.2068,18.6204
12.4136,6.2068,18.6204
15.517,6.2068,18.6204
18.6204,6.2068,18.6204
0,9.3102,18.6204
3.1034,9.3102,18.6204
6.2068,9.3102,18.6204
9.3102,9.3102,18.6204
12.4136,9.3102,18.6204
15.517,9.3102,18.6204
18.6204,9.3102,18.6204
0,12.4136,18.6204
3.1034,12.4136,18.6204
6.2068,12.4136,18.6204
9.3102,12.4136,18.6204
12.4136,12.4136,18.6204
15.517,12.4136,18.6204
18.6204,12.4136,18.6204
0,15.517,18.6204
3.1034,15.517,18.6204
6.2068,15.517,18.6204
9.3102,15.517,18.6204
12.4136,15.517,18.6204
15.517,15.517,18.6204
18.6204,15.517,18.6204
0,18.6204,18.6204
3.1034,18.6204,18.6204
6.2068,18.6204,18.6204
9.3102,18.6204,18.6204
12.4136,18.6204,18.6204
15.517,18.6204,18.6204
18.6204,18.6204,18.6204
