x,y,z
0,0,0
4.9264,0,0
9.8528,0,0
14.7792,0,0
2.4632,7.3896,2.4632
7.3896,7.3896,2.4632
12.316,7.3896,2.4632
17.2424,7.3896,2.4632
0,9.8528,0
4.9264,9.8528,0
9.8528,9.8528,0
14.7792,9.8528,0
2.4632,17.2424,2.4632
7.3896,17.2424,2.4632
12.316,17.2424,2.4632
17.2424,17.2424,2.4632
2.4632,2.4632,7.3896
7.3896,2.4632,7.3896
12.316,2.4632,7.3896
17.2424,2.4632,7.3896
0,4.9264,4.9264
4.9264,4.9264,4.9264
9.8528,4.9264,4.9264
14.7792,4.9264,4.9264
2.4632,12.316,7.3896
7.3896,12.316,7.3896
12.316,12.316,7.3896
17.2424,12.316,7.3896
0,14.7792,4.9264
4.9264,14.7792,4.9264
9.8528,14.7792,4.9264
14.7792,14.7792,4.9264
0,0,9.8528
4.9264,0,9.8528
9.8528,0,9.8528
14.7792,0,9.8528
2.4632,7.3896,12.316
7.3896,7.3896,12.316
12.316,7.3896,12.316
17.2424,7.3896,12.316
0,9.8528,9.8528
4.9264,9.8528,9.8528
9.8528,9.8528,9.8528
14.7792,9.8528,9.8528
2.4632,17.2424,12.316
7.3896,17.2424,12.316
12.316,17.2424,12.316
17.2424,17.2424,12.316
2.4632,2.4632,17.2424
7.3896,2.4632,17.2424
12.316,2.4632,17.2424
17.2424,2.4632,17.2424
0,4.9264,14.7792
4.9264,4.9264,14.7792
9.8528,4.9264,14.7792
14.7792,4.9264,14.7792
2.4632,12.316,17.2424
7.3896,12.316,17.2424
12.316,12.316,17.2424
17.2424,12.316,17.2424
0,14.7792,14.7792
4.9264,14.7792,14.7792
9.8528,14.7792,14.7792
14.7792,14.7792,14.7792
0,0,0
4.9264,0,0
9.8528,0,0
14.7792,0,0
2.4632,7.3896,2.4632
7.3896,7.3896,2.4632
12.316,7.3896,2.4632
17.2424,7.3896,2.4632
0,9.8528,0
4.9264,9.8528,0
9.8528,9.8528,0
14.7792,9.8528,0
2.4632,17.2424,2.4632
7.3896,17.2424,2.4632
12.316,17.2424,2.4632
17.2424,17.2424,2.4632
2.4632,2.4632,7.3896
7.3896,2.4632,7.3896
12.316,2.4632,7.3896
17.2424,2.4632,7.3896
0,4.9264,4.9264
4.9264,4.9264,4.9264
9.8528,4.9264,4.9264
14.7792,4.9264,4.9264
2.4632,12.316,7.3896
7.3896,12.316,7.3896
12.316,12.316,7.3896
17.2424,12.316,7.3896
0,14.7792,4.9264
4.9264,14.7792,4.9264
9.8528,14.7792,4.9264
14.7792,14.7792,4.9264
0,0,9.8528
4.9264,0,9.8528
9.8528,0,9.8528
14.7792,0,9.8528
2.4632,7.3896,12.316
7.3896,7.3896,12.316
12.316,7.3896,12.316
17.2424,7.3896,12.316
0,9.8528,9.8528
4.9264,9.8528,9.8528
9.8528,9.8528,9.8528
14.7792,9.8528,9.8528
2.4632,17.2424,12.316
7.3896,17.2424,12.316
12.316,17.2424,12.316
17.2424,17.2424,12.316
2.4632,2.4632,17.2424
7.3896,2.4632,17.2424
12.316,2.4632,17.2424
